Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Les oeuvres de Rabelais . Tome deuxième . des songes drolatiques de Pantagruel...  ;Rabelais , François ;Les oeuvres de Rabelais . Tome deuxième . des songes drolatiques de Pantagruel... [Texte imprimé] / par Esmangart et Eloi Johanneau;Rabelais , François (Paris : Dalibon, 1823);;;;Français;;;
Oeuvres de Rabelais  . tome huitième . Des songes drolatiques de Pantagruel ;Rabelais , François ;Oeuvres de Rabelais [Texte imprimé] . tome huitième . Des songes drolatiques de Pantagruel / par Esmangart et Eloi Johanneau;"Rabelais , François (A Paris : chez Dalibon, 1823 ;  Imprimerie de Jules Didot l'aîné)";;;"Edition variorum augmentée de pièces inédites ; des Songes drolatiques de Pantagruel, ouvrage posthume avec l'explication en regard ; des Remarques de Le Duchat, de Bernier, de Le Motteux, de l'abbé de Marsy, de Voltaire, de Ginguené, etc.. et d'un nouveau commentaire historique et philologique par Esmangart et Eloi Johanneau";Français;;;
Oeuvres de Rabelais  . tome septième . Des songes drolatiques de Pantagruel ;Rabelais , François ;Oeuvres de Rabelais [Texte imprimé] . tome septième . Des songes drolatiques de Pantagruel / par Esmangart et Eloi Johanneau;"Rabelais , François (A Paris : chez Dalibon, 1823 ;  Imprimerie de Jules Didot l'aîné)";;;"Edition variorum augmentée de pièces inédites ; des Songes drolatiques de Pantagruel, ouvrage posthume avec l'explication en regard ; des Remarques de Le Duchat, de Bernier, de Le Motteux, de l'abbé de Marsy, de Voltaire, de Ginguené, etc.. et d'un nouveau commentaire historique et philologique par Esmangart et Eloi Johanneau";Français;;;
Oeuvres de Rabelais  . tome cinquième . Des songes drolatiques de Pantagruel ;Rabelais , François ;Oeuvres de Rabelais [Texte imprimé] . tome cinquième . Des songes drolatiques de Pantagruel / par Esmangart et Eloi Johanneau;"Rabelais , François (A Paris : chez Dalibon, 1823 ;  Imprimerie de Jules Didot l'aîné)";;;"Edition variorum augmentée de pièces inédites ; des Songes drolatiques de Pantagruel, ouvrage posthume avec l'explication en regard ; des Remarques de Le Duchat, de Bernier, de Le Motteux, de l'abbé de Marsy, de Voltaire, de Ginguené, etc.. et d'un nouveau commentaire historique et philologique par Esmangart et Eloi Johanneau";Français;;;
Oeuvres de Rabelais  . Tome troisième . Des songes drolatiques de Pantagruel ;Rabelais , François ;Oeuvres de Rabelais [Texte imprimé] . Tome troisième . Des songes drolatiques de Pantagruel / par Esmangart et Eloi Johanneau;"Rabelais , François (A Paris : chez Dalibon, 1823 ;  Imprimerie de Jules Didot l'aîné)";;;"Edition variorum augmentée de pièces inédites ; des Songes drolatiques de Pantagruel, ouvrage posthume avec l'explication en regard ; des Remarques de Le Duchat, de Bernier, de Le Motteux, de l'abbé de Marsy, de Voltaire, de Ginguené, etc.. et d'un nouveau commentaire historique et philologique par Esmangart et Eloi Johanneau";Français;;;
Oeuvres de Rabelais  . Tome quatrième . Des songes drolatiques de Pantagruel ;Rabelais , François ;Oeuvres de Rabelais [Texte imprimé] . Tome quatrième . Des songes drolatiques de Pantagruel / par Esmangart et Eloi Johanneau;"Rabelais , François (A Paris : chez Dalibon, 1823 ;  Imprimerie de Jules Didot l'aîné)";;;"Edition variorum augmentée de pièces inédites ; des Songes drolatiques de Pantagruel, ouvrage posthume avec l'explication en regard ; des Remarques de Le Duchat, de Bernier, de Le Motteux, de l'abbé de Marsy, de Voltaire, de Ginguené, etc.. et d'un nouveau commentaire historique et philologique par Esmangart et Eloi Johanneau";Français;;;
Oeuvres de Rabelais  . Tome premier . des songes drolatiques de Pantagruel ;Rabelais , François ;Oeuvres de Rabelais [Texte imprimé] . Tome premier . des songes drolatiques de Pantagruel / par Esmangart et Eloi Johanneau;"Rabelais , François (Paris : Dalibon, 1823 ;  Imprimerie de Jules Didot l'aîné)";;;"Edition variorum augmentée de pièces inédites ; des Songes drolatiques de Pantagruel, ouvrage posthume avec l'explication en regard ; des Remarques de Le Duchat, de Bernier, de Le Motteux, de l'abbé de Marsy, de Voltaire, de Ginguené, etc.. et d'un nouveau commentaire historique et philologique par Esmangart et Eloi Johanneau";Français;;;
Les ordalies  : sonnets d'outre-temps ;Rabemananjara , Jacques ;"Les ordalies [Texte imprimé] : sonnets d'outre-temps / Jacques Rabemananjara ; préface de Robert Mallet";"Rabemananjara , Jacques (Paris : Présence africaine, impr. 1972 ;  86-Ligugé :  impr. Aubin)";;Poésie;;Français;;;
Antsa  : poème ;Rabemananjara , Jacques ;"Antsa [Texte imprimé] : poème / Jacques Rabemananjara ; préface de François Mauriac";Rabemananjara , Jacques (Paris : Présence africaine, impr. 1956);Poésie malgache de langue française   20e siècle ;;;Français;;;
Varsovie  : suite tragique en trois actes ;Rabi , Wladimir ;"Varsovie [Texte imprimé] : suite tragique en trois actes / Rabi ; préface d'André Spire ; trois dessins de Gabriel Zendel, commentaires";Rabi , Wladimir (Gap : Ed. Ophrys, 1955);;;;Français;;;
Reflections on fieldwork in Morocco  ;Rabinow , Paul ;"Reflections on fieldwork in Morocco [Texte imprimé] / Paul Rabinow ; with a foreword by Robert N. Bellah";"Rabinow , Paul (Berkeley ; Los Angeles ; London : University of California press, cop. 1977)";Ethnologie   Maroc ;A Quantum book;;Anglais;0-520-03450-3 ;9780520034501 ;
Symbolic domination  : cultural form and historical change in Morocco ;Rabinow , Paul ;Symbolic domination [Texte imprimé] : cultural form and historical change in Morocco / Paul Rabinow;"Rabinow , Paul (Chicago ; London : The University of Chicago Press, 1975)";Maroc -- Civilisation ;;;Anglais;;;
Racine  : oeuvres choisies ;Racine , Jean ;Racine [Texte imprimé] : oeuvres choisies / avec chronologie, bibliographie, notes, grammaire, lexique et illustrations documentaires par Jean Fourcassié, ...;Racine , Jean (Paris : A. Hatier, 1933);;Collection d'auteurs français;7e éd.;Français;;;
La Saisie ;Raczymow , Henri ;La Saisie / Henri Raczymow;Raczymow , Henri ([Paris] : Gallimard, DL 1973);;Le Chemin;;Français;2-07-028519-7 ;9782070285198 ;
Les Jeux du désir : de la technique à l'économie ;Radkowski , Georges-Hubert de ;Les Jeux du désir : de la technique à l'économie / Georges-Hubert de Radkowski;"Radkowski , Georges-Hubert de (Paris : PUF, 1980 ;  41-Vendôme :  Impr. des PUF)";Philosophie économique   Economics -- Philosophy ;Croisées;;Français;2-13-036310-5 ;9782130363101 ;
Dr oles de voyages  : roman ;Ragon , Michel ;Dr oles de voyages [Texte imprimé] : roman / Michel Ragon;Ragon , Michel (Paris : Albin Michel, 1954);;;;Français;;;
Atlan, mon ami 1948-1960 ;Ragon , Michel ;Atlan, mon ami 1948-1960 / Michel Ragon;Ragon , Michel (Paris : Ed. Galilée, 1989);Atlan, Jean-Michel -- 1913-1960 ;Ecritures/Figures;;Français;2-7186-0333-X ;9782718603339 ;
25 ans d'art vivant : chronique vécue de l'art contemporain de l'abstraction au pop art, 1944-1969 ;Ragon , Michel ;25 ans d'art vivant : chronique vécue de l'art contemporain de l'abstraction au pop art, 1944-1969 / Michel Ragon;Ragon , Michel (Paris : Galilée, 1986);"Art   Critique d&apos;art   1945-1970  et autres";Collection Écritures-figures;Nouv. édition remaniée et augm.;Français;2-7186-0298-8 ;9782718602981 ;
Drôles de métiers  ;Ragon , Michel ;Drôles de métiers [Texte imprimé] / Michel Ragon;Ragon , Michel (Paris : A. Michel, cop. 1953);;;;Français;2-226-02616-9 ;9782226026163 ;
Le roman de Rabelais : roman ;Ragon , Michel ;Le roman de Rabelais : roman / Michel Ragon;Ragon , Michel (Paris : Albin Michel, 1993);;;;Français;2-226-06798-1  et autres;9782226067982  et autres;
La Louve de Mervent  ;Ragon , Michel ;La Louve de Mervent [Texte imprimé] / Michel Ragon;Ragon , Michel (Paris : A. Michel, 1985);;;;Français;2-226-02455-7 ;9782226024558 ;
Histoire de la littérature ouvrière : du Moyen Age à nos jours ;Ragon , Michel ;"Histoire de la littérature ouvrière : du Moyen Age à nos jours / Michel Ragon ; préface par Édouard Dolléans";Ragon , Michel ([Paris] : Les éditions ouvrières, DL 1953);Écrits de travailleurs   Littérature française   Histoire et critique  et autres;Masses et militants;;Français;;;
Ma Vendée  : entretiens avec Maurice Chavardès ;Ragon , Michel ;Ma Vendée [Texte imprimé] : entretiens avec Maurice Chavardès / Michel Ragon;Ragon , Michel ([Etrépilly] : C. de Bartillat, 1994);Ragon, Michel   Vendée (France) -- Entretiens -- 1924-.... ;Terres;;Français;2-84100-051-6  et autres;9782841000517  et autres;
Libertés, liberté ;Ragon , Michel ;"Libertés, liberté / conception graphique, Jean-Claude Hug ; [textes de Michel Ragon... et al.] ; [peintures de Karel Appel... et al.]";Ragon , Michel (Paris : Espace Belleville, 1989);Confédération française démocratique du travail   Syndicalism -- France   Liberté et art  et autres;;;Français;;;
Les Américains  : roman ;Ragon , Michel ;Les Américains [Texte imprimé] : roman / Michel Ragon;Ragon , Michel (Paris : Albin Michel, 1959);;;;Français;;;
D'une berge à l'autre : pour mémoire, 1943-1953 ;Ragon , Michel ;D'une berge à l'autre : pour mémoire, 1943-1953 / Michel Ragon;"Ragon , Michel (Paris : Albin Michel, DL 1997, cop. 1997 ;  18-Saint-Amand-Montrond :  Bussière Camedan impr.)";"Ragon, Michel   Critique d&apos;art   France  et autres";;;Français;2-226-09365-6 ;9782226093653 ;
L'Accent de ma mère  : roman : Michel Ragon;Ragon , Michel ;L'Accent de ma mère [Texte imprimé] : roman : Michel Ragon;"Ragon , Michel (Paris : A. Michel, 1979 ;  86-Ligugé :  impr. Aubin)";;;;Français;2-226-00839-X ;9782226008398 ;
Les mouchoirs rouges de Cholet  : roman ;Ragon , Michel ;Les mouchoirs rouges de Cholet [Texte imprimé] : roman / Michel Ragon;"Ragon , Michel (Paris : A. Michel, 1983 ;  18-Saint-Amand-Montrond :  Impr. S.E.P.C.)";;;;Français;2-226-01939-1 ;9782226019394 ;
L'architecte, le prince et la démocratie  ;Ragon , Michel ;L'architecte, le prince et la démocratie [Texte imprimé] / Michel Ragon;"Ragon , Michel (Paris : A. Michel, impr. 1977 ;  53-Mayenne :  impr. Floch)";Architecture -- Aspect social   Urbanisme ;;;Français;2-226-00443-2 ;9782226004437 ;
Histoire de la littérature prolétarienne en France : littérature ouvrière, littérature paysanne, littérature d'expression populaire ;Ragon , Michel ;Histoire de la littérature prolétarienne en France : littérature ouvrière, littérature paysanne, littérature d'expression populaire / Michel Ragon;Ragon , Michel (Paris : Albin Michel, copyright 1974);Littérature prolétarienne (mouvement)   Écrivains ouvriers   France  et autres;;;Français;2-226-00111-5 ;9782226001115 ;
Histoire de la littérature prolétarienne de langue française : littérature ouvrière, littérature paysanne, littérature d'expression populaire ;Ragon , Michel ;Histoire de la littérature prolétarienne de langue française : littérature ouvrière, littérature paysanne, littérature d'expression populaire / Michel Ragon;Ragon , Michel (Paris : Albin Michel, 1986);Classe ouvrière   Dans la littérature   Littérature française  et autres;;Nouvelle édition mise à jour;Français;978-2-226-39171-1  et autres;978-2-226-39171-1  et autres;
La Croisade contre le Graal  : grandeur et chute des Albigeois ;Rahn , Otto ;"La Croisade contre le Graal [Texte imprimé] : grandeur et chute des Albigeois / Otto Rahn ; traduit de l'allemand par Robert Pitrou";"Rahn , Otto (Paris : Stock, impr.1974 ;  86-Ligugé :  impr. Aubin)";Graal   Catharisme ;Le Cabinet cosmopolite;Nouv. éd. rev. et complétée;Français;2-234-00114-5 ;9782234001145 ;
Dadabe  : et autres nouvelles ;Rakotoson , Michèle ;Dadabe [Texte imprimé] : et autres nouvelles / Michèle Rakotoson;"Rakotoson , Michèle (Paris : Karthala, DL 1984 ;  14-Condé-sur-Noireau :  Impr. Reprotyp)";;Collection Lettres du Sud;;Français;2-86537-076-3 ;9782865370764 ;
Société rurale et urbanisation ;Rambaud , Placide ;Société rurale et urbanisation / Placide Rambaud;Rambaud , Placide (Paris : Éditions du Seuil, DL 1969);Sociologie rurale   Sociologie urbaine   Conditions rurales  et autres;"Collections ""Esprit"" . La cité prochaine";;Français;;;
Histoire du commerce de Marseille . Tome VI . De 1660 à 1789, Les colonies  ;Rambert , Gaston ;"Histoire du commerce de Marseille . Tome VI . De 1660 à 1789, Les colonies [Texte imprimé] / par Gaston Rambert ; publiée par la Chambre de commerce de Marseille ; sous la direction de Gaston Rambert, ...";Rambert , Gaston (Paris : Plon, 1959);17e siècle   Commerce   France  et autres;;;Français;;;
Isabelle Eberhardt  : notes et souvenirs ;Randau , Robert ;"Isabelle Eberhardt [Texte imprimé] : notes et souvenirs / Robert Randau ; présentation de Jean Déjeux";"Randau , Robert (Paris : la Boîte à documents, 1989 ;  14-Condé-sur-Noireau :  Impr. Corlet)";Eberhardt, Isabelle -- 1877-1904 ;;;Français;2-906164-07-0 ;9782906164079 ;
La philosophie de l'histoire comme science de l'évolution ;Rappoport , Charles ;La philosophie de l'histoire comme science de l'évolution / Charles Rappoport;Rappoport , Charles (Paris : M. Rivière, 1925);"Philosophie de l&apos;histoire ";"Études sur le devenir social ; XX";2e édition;Français;;;
De Baudelaire au surréalisme ;Raymond , Marcel ;De Baudelaire au surréalisme / Marcel Raymond;Raymond , Marcel (Paris : J. Corti, 1940);Baudelaire, Charles   Surréalisme (littérature)   Poésie française -- 1900-1945  et autres;;Nouv. éd. revue et remaniée;Français;2-7143-0136-3  et autres;9782714301369  et autres;
L'Orgueil anonyme  ;Raynal , Henri ;L'Orgueil anonyme [Texte imprimé] / Henri Raynal;"Raynal , Henri (Paris : Éditions du Seuil, 1965 ;  Lagny :  impr. E. Grevin et fils)";;;;Français;;;
Aux pieds d'Omphale  ;Raynal , Henri ;Aux pieds d'Omphale [Texte imprimé] / par Henri Raynal;"Raynal , Henri (Paris : J.-J. Pauvert, 1957 ;  Montreuil :  Impr. S.I.P)";;;;Français;;;
La passe imaginaire  ;Réal , Grisélidis ;"La passe imaginaire [Texte imprimé] / Grisélidis Réal ; préface de Jean-Luc Hennig";Réal , Grisélidis (Levallois-Perret : Manya, D.L 1992);Réal, Grisélidis   Prostitution   Suisse  et autres;;;Français;2-87896-037-8 ;9782878960372 ;
Avec Jacques Duclos au banc des accusés à la réunion constitutive du Kominform à Szklarska Poreba  : 22-27 septembre 1947 ;Reale , Eugenio ;"Avec Jacques Duclos au banc des accusés à la réunion constitutive du Kominform à Szklarska Poreba [Texte imprimé] : 22-27 septembre 1947 / Eugenio Reale ; traduit de l'italien par Pierre Bonuzzi";Reale , Eugenio (Paris : Plon, 1958);"Duclos, Jacques   Bureau d&apos;information des partis communistes et ouvriers   Communisme -- 1896-1975 ";;;Français;;;
La Câlineuse  ;Rebell , Hugues ;"La Câlineuse [Texte imprimé] / par Hugues Rebell ; préface par Auriant ; postface par Hubert Juin";"Rebell , Hugues (Paris : Union générale d'éditions, 1978 ;  Impr. en Italie)";;"10-18 ; 1227 . Série Fins de siècles";;Français;2-264-00870-9 ;9782264008701 ;
Voyage à la Sierra-Nevada de Sainte-Marthe  : paysages de la nature tropicale ;Reclus , Élisée ;Voyage à la Sierra-Nevada de Sainte-Marthe [Texte imprimé] : paysages de la nature tropicale / par Elisée Reclus;Reclus , Élisée (Paris : Hachette, 1881);Santa Marta, Sierra nevada de (Colombie)   19e siècle   Cartagena (Colombie)  et autres;;2nde édition contenant 21 gravures et une carte;Français;;;
Dix jours qui ébranlèrent le monde  ;Reed , John ;"Dix jours qui ébranlèrent le monde [Texte imprimé] / par John Reed ; préf. de V. Lénine et de N. Kroupskaia";Reed , John (Paris : [Ed. Sociales], 1962);URSS -- Histoire -- 1917-1921 (Révolution) ;"Le monde en 10-18 ; 59-60";;Français;;;
L'irruption de la morale sexuelle  : étude des origines du caractère compulsif de la morale sexuelle ;Reich , Wilhelm ;"L'irruption de la morale sexuelle [Texte imprimé] : étude des origines du caractère compulsif de la morale sexuelle / Wilhelm Reich ; traduit de l'allemand par Pierre Kamnitzer";"Reich , Wilhelm (Paris : Payot, 1974 ;  18-Saint-Amand :  impr. Bussière)";Morale sexuelle   Sexualité (psychologie) ;"Petite bibliothèque Payot ; 236 . Collection Science de l'homme";;Français;2-228-32362-4  et autres;9782228323628  et autres;
La fonction de l'orgasme  ;Reich , Wilhelm ;"La fonction de l'orgasme [Texte imprimé] / Wilhelm Reich ; traduction de l'anglais revue et corrigée par l'auteur";Reich , Wilhelm (Paris : l'Arche, impr. 1975, cop. 1952);Sexualité (psychologie)   Orgasme ;"Le Sens de la marche ; 4";2e édition française revue et corrigée;Français;;;
Premiers écrits . Tome 1 .  ;Reich , Wilhelm ;"Premiers écrits . Tome 1 . [1920-1925] / Wilhelm Reich ; traduit de l'allemand par J. Chavy et D. Deisen ; [avant-propos de Chester M. Raphael]";"Reich , Wilhelm (Paris : Payot, 1976 ; 53-Mayenne : impr. Floch)";Psychanalyse   Libido   Pulsions  et autres;Collection Science de l'homme;;Français;2-228-21920-7 ;9782228219204 ;
L'éther, dieu et le diable : le fonctionnalisme orgonomique ;Reich , Wilhelm ;"L'éther, dieu et le diable : le fonctionnalisme orgonomique / Wilhelm Reich ; traduit de l'allemand [et de l'anglais] par Pierre Kamnitzer";"Reich , Wilhelm (Paris : Petite bibliothèque Payot, 1973 ;  18-Saint-Amand :  impr. Bussière)";Orgonomie ;"Collection Science de l'homme ; 73";;Français;2-228-21680-1 ;9782228216807 ;
Mas que un poeta  : sobre Heinrich Boll ;Reich-Ranicki , Marcel ;Mas que un poeta [Texte imprimé] : sobre Heinrich Boll / Marcel Reich-Ranicki;Reich-Ranicki , Marcel (Valencia : Alfons el Magnanim, 1994);Böll, Heinrich   Poesie allemande -- 20e s -- Histoire et critique -- 1917-1985 ;;;Espagnol;;;
