Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Au pays du mensonge déconcertant ;Ciliga , Ante ;"Au pays du mensonge déconcertant / par Anton Ciliga ; [introduction de Max Chaleil]";Ciliga , Ante (Paris : Union générale d'éditions : Gallimard, DL 1977, cop. 1938);Camps de concentration -- URSS   Récits personnels ;"10/18 . Série Noir et rouge ; 1158 .- Dix ans derrière le rideau de fer ; 1";[Nouvelle édition];Français;2-264-00158-5 ;9782264001580 ;
Précis de décomposition  ;Cioran , Emil ;Précis de décomposition [Texte imprimé] / E. M. Cioran;Cioran , Emil (Paris : Gallimard, impr. 1966);;"Collection Idées ; 94";;Français;;;
De l'inconvénient d'être né  ;Cioran , Emil ;De l'inconvénient d'être né [Texte imprimé] / par E. M. Cioran;Cioran , Emil (Paris : Gallimard, impr. 1973);Morale existentialiste   Vie ;"Les Essais ; 186";;Français;2-07-028839-0 ;9782070288397 ;
L'avenir du passé : utopie et littérature ;Cioranescu , Alexandre ;L'avenir du passé : utopie et littérature / par Alexandre Cior?nescu;Cioranescu , Alexandre (Paris : Gallimard, DL 1972);Utopies littéraires ;"Les Essais ; 171";;Français;;;
Méduse  : contribution à une anthropologie des arts du visuel ;Clair , Jean ;Méduse [Texte imprimé] : contribution à une anthropologie des arts du visuel / Jean Clair;"Clair , Jean ([Paris] : Gallimard, impr. 1989 ;  53-Mayenne :  Impr. Floch)";Méduse   Psychanalyse et mythologie   Psychanalyse et arts  et autres;Connaissance de l'inconscient;;Français;2-07-071605-8 ;9782070716050 ;
Raymond Queneau et la psychanalyse  ;Clancier , Anne ;Raymond Queneau et la psychanalyse [Texte imprimé] / Anne Clancier;"Clancier , Anne (Paris : Éd. du limon, 1994 ;  58-Clamecy :  Impr. Laballery)";Queneau, Raymond   Psychanalyse et littérature -- Psychologie -- 1903-1976 ;;;Français;2-907224-32-8 ;9782907224321 ;
Fête couchée ;Clancy , Geneviève ;"Fête couchée / Geneviève Clancy ; dessins de Matta";Clancy , Geneviève (Paris : Seghers/Laffont, impr. 1972);;Change;;Français;;;
Le Nu  ;Clark , Kenneth ;"Le Nu [Texte imprimé] / Kenneth Clark ; trad. de l'anglais par Martine Laroche";Clark , Kenneth ([Paris] : Le Livre de poche, 1969);;"Le Livre de poche illustré ; 2453 ; 2454";;Français;;;
Ghetto noir  ;Clark , Kenneth Bancroft ;"Ghetto noir [Texte imprimé] / Kenneth B. Clark ; préface de Gunnar Myrdal ; traduit de l'américain par Yves Malartic";Clark , Kenneth Bancroft (Paris : R. Laffont, 1966);Noirs américains -- Conditions sociales   Conditions sociales   New York (N.Y.) -- Quartier de Harlem  et autres;Les Voies de l'homme;;Français;;;
"Cahiers Paul Claudel  . 1 . "" Tête d'or"" et les débuts littéraires";Claudel , Paul ;"Cahiers Paul Claudel [Texte imprimé] . 1 . "" Tête d'or"" et les débuts littéraires";Claudel , Paul ([Paris] : Gallimard, impr. 1959);;;;Français;;;
La peinture hollandaise et autres écrits sur l'art  ;Claudel , Paul ;La peinture hollandaise et autres écrits sur l'art [Texte imprimé] / Paul Claudel;Claudel , Paul (Paris : Gallimard, DL 1967);Peinture néerlandaise   Appréciation   17e siècle  et autres;"Idées-arts ; 10";;Français;;;
Cahiers Paul Claudel  . 6 . Claudel homme de théatre : correspondances avec Copeau,Dullin,Jouvet ;Claudel , Paul ;Cahiers Paul Claudel [Texte imprimé] . 6 . Claudel homme de théatre : correspondances avec Copeau,Dullin,Jouvet / établies et annotées par Henri Micciollo et Jacques Petit;Claudel , Paul ([Paris] : Gallimard, D.L 1966);;;;Français;;;
La Cantate à trois voix  suivie de Sous le rempart d'Athènes ;Claudel , Paul ;La Cantate à trois voix [Texte imprimé] suivie de Sous le rempart d'Athènes / et de traductions diverses [de] Paul Claudel;Claudel , Paul (Paris : Gallimard, impr.1943);;;Nouvelle édition;Français;;;
De la Guerre  ;Clausewitz , Carl von ;"De la Guerre [Texte imprimé] / Carl von Clausewitz ; traduction intégrale par Denise Naville ; préface de Camille Rougeron ; introduction de Pierre Naville";"Clausewitz , Carl von ([Paris] : les Éditions de Minuit, 1955, cop. 1955 ;  Fontenay-le-Comte :  impr. de Lussaud)";Art et science militaires ;;;Français;;;
Régions, nations, grands espaces  : géographie générale des ensembles territoriaux ;Claval , Paul ;Régions, nations, grands espaces [Texte imprimé] : géographie générale des ensembles territoriaux / par Paul Claval, ...;Claval , Paul (Paris : M.-Th. Génin, impr. 1968);Géographie humaine   Géographie économique ;"Géographie économique et sociale ; 1";;Français;;;
Les Fils de Freud sont fatigués ;Clément , Catherine ;Les Fils de Freud sont fatigués / Catherine Clément;"Clément , Catherine (Paris : Bernard Grasset, DL 1978 ; 27-Mesnil-sur-l'Estrée : impr. Firmin-Didot)";Psychanalyse   Psychoanalysis -- Philosophy   Psychoanalysis -- France ;Figures;;Français;2-246-00596-5 ;9782246005964 ;
Vies et légendes de Jacques Lacan ;Clément , Catherine ;Vies et légendes de Jacques Lacan / Catherine Clément;Clément , Catherine (Paris : Bernard Grasset, DL 1981);Lacan, Jacques   Psychanalyse   Psychanalystes  et autres;Figures;;Français;2-246-25461-2 ;9782246254614 ;
La folle et le saint ;Clément , Catherine ;"La folle et le saint / Catherine Clément et Sudhir Kakar ; le texte de Sudhir Kakar... trad. de l'anglais par Marie-José Minassian";"Clément , Catherine (Paris : Éd. du Seuil, DL 1993 ; C 1993 ; 27-Mesnil-sur-l'Estrée)";Le Bouc, Madeleine   Lebouc, Madeleine   Ramakrishna  et autres;Champ freudien;;Français;2-02-019359-0 ;9782020193597 ;
Le Maure de Venise  : roman ;Clément , Catherine ;Le Maure de Venise [Texte imprimé] : roman / Catherine Clément;Clément , Catherine (Paris : B. Grasset, c1983);;;;Français;2-246-31041-5 ;9782246310419 ;
En danger de progrès  ;Closets , François de ;En danger de progrès [Texte imprimé] / François de Closets;Closets , François de (Paris : Gallimard, DL 1972);Progrès   Changement social ;"Idées ; 278";Ed. rev. et augm;Français;;;
Néo-fascisme et idéologie du désir  ;Clouscard , Michel ;Néo-fascisme et idéologie du désir [Texte imprimé] / Michel Clouscard;"Clouscard , Michel (Paris : Denoël : Gonthier, 1973 ;  53-Mayenne :  impr. Floch)";Marxisme et psychologie   Psychanalyse et marxisme   Désir ;"Collection Grand format Médiations ; 22";;Français;;;
Belle du seigneur : roman ;Cohen , Albert ;Belle du seigneur : roman / Albert Cohen;Cohen , Albert ([Paris] : Gallimard, DL 1968);;"Collection soleil ; 244";;Français;;;
La grande clarté du Moyen-Age ;Cohen , Gustave ;La grande clarté du Moyen-Age / Gustave Cohen;Cohen , Gustave (Paris : Gallimard, DL 1967);Moyen âge   Philosophie médiévale ;"Idées ; 163";;Français;;;
Pour une sociologie du langage  ;Cohen , Marcel ;Pour une sociologie du langage [Texte imprimé] / Marcel Cohen, ...;Cohen , Marcel (Paris : Albin Michel, DL 1956);Syntaxe   Sociolinguistique ;Sciences d'aujourd'hui;;Français;;;
